FunctionalLoc,resources_id,id
1800-1811-B2L2-P210-R211-BL05 BL05 BALL VALVE REAKTOR R211,6,296
1800-1811-B2L2-P210-R211-BL06 BL06 BALL VALVE REAKTOR R211,6,297
1800-1811-B2L2-P210-R211-BL07 BL07 BALL VALVE REAKTOR R211,6,298
1800-1811-B2L2-P210-R211-BL08 BL08 BALL VALVE REAKTOR R211,6,299
1800-1811-B2L2-P210-R211-BL09 BL09 BALL VALVE REAKTOR R211,6,300
1800-1811-B2L2-P210-R212-BF01 BF01 BUTTERFLY VALVE REAKTOR R212,6,301
1800-1811-B2L2-P210-R212-BL01 BL01 BALL VALVE REAKTOR R212,6,302
1800-1811-B2L2-P210-R212-BL02 BL02 BALL VALVE REAKTOR R212,6,303
1800-1811-B2L2-P210-R212-BL03 BL03 BALL VALVE REAKTOR R212,6,304
1800-1811-B2L2-P210-R212-BL04 BL04 BALL VALVE REAKTOR R212,6,305
1800-1811-B2L2-P210-R212-BL05 BL05 BALL VALVE REAKTOR R212,6,306
1800-1811-B2L2-P210-R212-BL06 BL06 BALL VALVE REAKTOR R212,6,307
1800-1811-B2L2-P210-R213-BF01 BF01 BUTTERFLY VALVE REAKTOR R213,6,308
1800-1811-B2L2-P210-R213-BL01 BL01 BALL VALVE REAKTOR R213,6,309
1800-1811-B2L2-P210-R213-BL02 BL02 BALL VALVE REAKTOR R213,6,310
1800-1811-B2L2-P210-R213-BL03 BL03 BALL VALVE REAKTOR R213,6,311
1800-1811-B2L2-P210-R213-BL04 BL04 BALL VALVE REAKTOR R213,6,312
1800-1811-B2L2-P210-R213-BL05 BL05 BALL VALVE REAKTOR R213,6,313
1800-1811-B2L2-P210-R213-BL06 BL06 BALL VALVE REAKTOR R213,6,314
1800-1811-B2L2-P210-R214-BF01 BF01 BUTTERFLY VALVE REAKTOR R214,6,315
1800-1811-B2L2-P210-R214-BL01 BL01 BALL VALVE REAKTOR R214,6,316
1800-1811-B2L2-P210-R214-BL02 BL02 BALL VALVE REAKTOR R214,6,317
1800-1811-B2L2-P210-R214-BL03 BL03 BALL VALVE REAKTOR R214,6,318
